,playlist,name,_likelihood,_popularity,distance
220,Lil' Kim,['Train Man' 'Mind' 'Wrong to Love You' 'Frank Sinatra' 'Frank Sinatra'],[148.92141034 143.96934303 140.46097673 138.98700651 138.98700651],[65.94833161 64.13878925 64.21026433 63.41380338 63.41380338],[0.44283983 0.4455031  0.45713953 0.45625706 0.45625706]
221,Playlist of Win,"['Honey I Sure Miss You' ""You're My Best Friend""
 'Blue Pepper (Far East of the Blues)' 'Got To Choose'
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[188.20240126 174.0666883  171.69915701 166.03351476 152.85255095],[67.33001998 65.43612454 63.59892153 62.2751969  56.63124323],[0.35775325 0.3759256  0.37040905 0.37507606 0.3704959 ]
222,esprtsnt,"['Mi Tesoro' 'BTSTU (Demo)' 'Even After All' 'I Feel Like A New Man'
 'If I Had You - Live At Birdland, New York/1954']",[408.8948928  385.43251135 385.12157459 363.82685184 358.87753107],[68.05914594 69.9604836  67.01869647 69.29448394 69.20633501],[0.16644655 0.18151163 0.17401958 0.19046006 0.19284109]
223,Enigma — The Cross Of Changes,"['Tango in the Night - Demo; 2017 Remaster' 'I Love You' 'Touch'
 'Crime Of The Century - Remastered' 'I Need You']",[150.97965523 148.52598889 146.01115888 119.5765504  100.28053796],[56.75617929 57.41023202 58.1339075  48.88971956 39.89563817],[0.37591939 0.38653324 0.39814702 0.40885708 0.39784029]
224,Barrio Brown,"['Tasty Cakes' 'You Can Call Me Al'
 'I Wanna Dance with Somebody (Who Loves Me)' 'Everlasting Love'
 'Si Yo Fuera']",[125.29696882 122.86374252 117.97343132 113.49683362 105.36782259],[58.40807825 56.9361255  55.07410308 53.01417812 48.89483755],[0.46615715 0.46340869 0.4668348  0.4670983  0.46403956]
225,I love her,"['Mr. Clean' 'Tobacco Road' ""Miss Judy's Farm"" 'No Time' 'Sunset']",[165.78476103 162.41242177 161.78848103 160.77818821 156.28315624],[66.76275612 65.30326833 64.40495454 64.96908883 61.89425205],[0.40270744 0.40208297 0.39808121 0.40409144 0.39603917]
226,Erykah Badu - Erykah Badu,"['Bron-Y-Aur Stomp - Remaster' 'Bron-Y-Aur Stomp - Remaster' 'Truth'
 'Fire And The Thud' 'Somebody To Love']",[139.59130169 139.59130169 139.26658496 136.83875644 127.53949532],[65.25705848 65.25705848 64.48488004 62.2005895  59.65170078],[0.46748657 0.46748657 0.46303196 0.45455389 0.4677116 ]
227,weeknd,"['Dark Paradise' 'Dark Paradise' 'I’m So Sorry' 'Dark Paradise'
 'Tourner Dans Le Vide']",[111.99585453 110.97707371 106.15987622 106.05222756 100.0194607 ],[56.32357058 55.086094   53.45097745 52.61411552 50.61380293],[0.50290764 0.49637364 0.5034951  0.49611514 0.50603955]
228,IDK,"['Back To You' 'Gone, Gone, Gone'
 'Back To You - From 13 Reasons Why – Season 2 Soundtrack' ""She's A Mover""
 'Circle']",[298.64333828 279.33156996 272.7473611  271.39153434 241.45046306],[67.08041043 65.88301464 64.65713601 64.52337427 57.01577038],[0.22461713 0.23585954 0.2370587  0.23775014 0.23613858]
229,Various Artists - Juno - Music From The Motion Picture,"[""I Think We're Alone Now"" 'Tobacco Road'
 ""It May Be Winter Outside (But In My Heart It's Spring)""
 'Tommy Lee (feat. SAINt JHN & Post Malone) - Remix' 'No Time']",[233.763476   218.58227484 218.34409205 216.19334562 215.37531052],[70.56317496 65.30326833 66.80384126 65.97484456 64.96908883],[0.30185714 0.2987583  0.30595672 0.30516594 0.30165523]
230,Dizzee Rascal,"['Tobacco Road' ""Daddy's Song"" 'So Fine' 'Ends of the Earth' 'Sunset']",[186.50742417 183.28279538 179.18592557 175.45036782 173.75946479],[65.30326833 66.382189   63.24782302 61.45570745 61.89425205],[0.35013763 0.36218451 0.35297316 0.35027403 0.35620651]
231,Coal Chamber Chamber music,"[""My Time Ain't Long"" 'Might As Well Get Stoned' 'Got To Choose'
 ""I've Always Been Crazy""
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[361.90621987 341.24745344 330.51802475 311.57354041 305.7981732 ],[61.13715042 59.86511263 62.2751969  57.51787309 56.63124323],[0.16893092 0.17543021 0.18841695 0.18460449 0.18519157]
232,Martin Simpson – Purpose + Grace,"['Óleo de Mujer Con Sombrero' ""Lord I Just Can't Keep From Crying"" 'Adoro'
 'Adoro' 'Eso Y Más']",[195.56618514 195.33382285 193.95884967 193.87617518 189.62679035],[68.03563762 68.81408479 68.2761689  68.2761689  66.74828328],[0.3478906  0.35228965 0.35201368 0.35216379 0.35199817]
233,The Rolling Stones - Let it Bleed,"['Get Together' ""That's What You Get (For Being Polite)""
 'Sarvangi Sowas Pari Tu' 'On The Hunt' 'Nexus']",[298.60521967 292.52817482 277.33313635 272.35458333 258.93657849],[66.78598951 65.01911298 62.45967689 61.15785659 58.90107955],[0.22365982 0.22226616 0.22521534 0.22455233 0.227473  ]
234,Bernie Williams – The Journey Within,"['Feels So Good - Single Version' 'Harness Your Hopes - (B-side)'
 ""Gideon's Bible"" '¡Que Vida!' 'Wings Of My Love']",[148.85782932 147.01626572 146.49677534 143.89636194 142.14566786],[68.23497796 67.12038708 66.89372704 66.29735083 64.891883  ],[0.45839025 0.45655075 0.45662252 0.46072986 0.45651678]
235,My Morning Jacket - Evil Urges,"['Old World New World' 'Con il nastro rosa' 'Beat of a Heart'
 'I Saw an X-Ray of a Girl Passing Gas'
 'Ghost of a Chance - 2004 Remaster']",[207.41503047 199.83989409 194.59223039 186.14069643 143.76248358],[64.1187225  61.6777441  60.34068171 57.30915389 44.3421    ],[0.30913248 0.30863579 0.31008783 0.30788084 0.30844   ]
236,Portugal. The Man – Church Mouth,"['Melting' 'Dear Prudence - Remastered 2009' 'Wait by the River' 'Angel'
 'The Trees']",[164.7582034  158.21881676 156.45245948 146.50801508 145.95571725],[69.57074934 62.52966207 66.63068433 63.07791497 62.16195463],[0.4222597  0.39521002 0.42588454 0.43054242 0.42589599]
237,Julian Casablancas - Phrazes for the young,"['Cheap Sunglasses' 'Learning As You Go' 'The First Noël' 'Drive'
 'Your Heart Is an Empty Room']",[177.02082302 173.62563615 171.80006222 154.59197964 141.92526783],[68.2791028  67.81689945 67.04154205 60.34286411 55.54331047],[0.38571227 0.39059266 0.39023002 0.39033632 0.39135604]
238,: ):):):):):))):,"['I Love L.A.' ""She's A Mover"" 'Have You Ever Seen the Rain?'
 'American Dream' 'Unknown Legend']",[283.60260702 274.64207866 252.54089477 249.85535582 227.85292821],[65.94347545 64.52337427 57.35280178 56.76448483 53.61038866],[0.2325207  0.23493623 0.22710303 0.22718939 0.23528505]
239,DDM,"['Sierra Leone' 'Tobacco Road' ""Don't Panic""
 'Fly Me To The Moon (In Other Words)'
 ""Arthur's Theme (Best That You Can Do)""]",[346.78388539 334.8150726  313.7458286  297.886807   292.24600335],[69.86321448 65.30326833 70.34685459 66.92931734 64.67964342],[0.20146038 0.1950428  0.22421606 0.22468037 0.22131917]
240,80's hair bands,"['Letter from America - Band Version' 'Might As Well Get Stoned'
 'Night Flight - 1993 Remaster' 'Ride Captain Ride'
 ""Can't Get Enough - Take 1""]",[280.54838457 271.30476712 269.22705486 265.83474937 254.36749929],[65.43608245 59.86511263 62.20555374 57.69694201 59.1264465 ],[0.23324348 0.22065632 0.23105239 0.21704063 0.23244497]
241,Flyrteando,"['I Never Loved a Man (The Way I Love You)' 'Cuando Tu Cariño'
 'So Nice (Summer Samba)' 'Never Been to Spain' 'Valerie - Remix']",[516.64762086 433.36237759 417.2207428  405.76849205 390.68847783],[69.59698878 69.85504405 68.30568286 68.44528974 62.56594472],[0.13470881 0.16119314 0.16371593 0.16868064 0.16014279]
242,✝✝✝ (Crosses) - ✝✝✝,"['Father' 'Straight Through My Heart' 'DNA' 'DNA' ""That Ain't Love""]",[714.33741298 634.5251197  630.53703669 601.36587805 394.86561543],[60.35968972 69.10317502 61.21721413 62.1048663  43.27381731],[0.08449745 0.10890534 0.09708742 0.10327301 0.10959125]
243,Various Artists – Babel - Music From And Inspired By The Motion Picture,"['Train Man' 'Harness Your Hopes - (B-side)' 'Wings Of My Love'
 'Tobacco Road' 'Frank Sinatra']",[254.82854436 253.32161518 246.42692569 241.62217253 233.52258382],[65.94833161 67.12038708 64.891883   65.30326833 63.41380338],[0.25879492 0.26496115 0.26333114 0.27027018 0.27155319]
244,Chevy Thunder,"['Space Age Love Song' 'Space Age Love Song' 'Lightning Strikes' 'Make It'
 'Legend']",[408.14111344 408.14111344 369.09649007 326.70843327 305.88714621],[59.26281755 59.26281755 57.2521421  56.6723826  53.77868431],[0.14520178 0.14520178 0.1551143  0.17346471 0.17581217]
245,Get Up (Rattle) - Vocal Edit,"['House Of Jansch' 'Never Setting Sun - Radio Edit' 'All Time High'
 'Empty Rooms' 'Love Is Coming Down']",[198.77128441 193.51430845 191.99986301 186.25439968 180.57915495],[69.88377469 68.73963266 67.32341098 66.43840315 63.93454785],[0.35157883 0.35521731 0.35064302 0.35670783 0.35405276]
246,Cloud Boat — Book of Hours,['Suddenly Summer' 'Touched' 'Sowing Season (Yeah)' 'Resistance' 'Rowboat'],[149.37398501 147.78541308 141.80108822 103.45596715  73.84555581],[52.78655054 53.2414537  55.68784676 39.80765456 28.74855437],[0.35338517 0.3602619  0.39271805 0.38477872 0.38930649]
247,Triángulo de Amor Bizarro — Victoria Mística,"['Clara' 'Like A Baby' 'It Could Be You (Instead of Him)'
 'The Giving and the Taking' 'Oxford Town']",[         inf 772.00883504 689.82514996 671.1579148  644.84517777],[66.33554638 65.68960291 66.41920577 67.03353021 69.5054219 ],[0.         0.08508919 0.09628412 0.09987743 0.10778622]
248,Tomorrow's Harvest - Boards of Canada,"['Tobacco Road' 'Letter from America - Band Version' 'Fire And The Thud'
 'Drive' 'Christmas']",[367.17486257 351.47218263 327.64378091 312.55161568 310.08947179],[65.30326833 65.43608245 62.2005895  60.34286411 60.63135572],[0.17785332 0.18617713 0.18984212 0.19306528 0.19552859]
249,Agent Side Grinder – This Is Us [2014],"['This Is Us' 'Girl on a Train' 'Better with You'
 'Train Tracks (feat. Struggle)' 'What About Everything?']",[         inf 914.34978303 732.08929441 663.10836911 580.46636381],[69.70280026 69.03436954 69.41949566 67.77319059 62.00451173],[0.         0.07550105 0.09482381 0.1022053  0.10681844]
250,Jamie Cullum – Get Your Way Hit Pack,"['What A Difference A Day Made' 'Let It Be Christmas' 'Cry, Cry, Cry'
 'Heaven' 'Perfect Duet (Ed Sheeran & Beyoncé)']",[         inf 678.58733355 602.00082131 564.29650706 562.46305045],[66.15089608 63.41610281 64.99126362 65.65422141 66.30678013],[0.         0.09345312 0.10795876 0.11634703 0.11788646]
251,Metal/Rock - 2014,"['May This Be Love' 'Honey I Sure Miss You' 'Train Man' 'Blue Skies'
 'Mind']",[187.73047993 182.73271902 180.38035189 174.79513253 171.69985803],[67.42047906 67.33001998 65.94833161 65.48603266 64.13878925],[0.35913443 0.36846176 0.36560707 0.37464449 0.37355179]
252,Michael Jackson ,"['What It Feels Like for a Girl' 'None Shall Pass' '園遊會'
 'Version City - Remastered' 'Faster - Remastered 2004']",[180.77639901 159.5502232  157.83393679 156.54453605 147.22482826],[67.95226263 60.31615777 60.12952828 58.09231112 56.50559496],[0.37589123 0.37803869 0.38096704 0.37109127 0.38380479]
253,I Made You a Mixtape May 2013,"['Harness Your Hopes - (B-side)' 'Train Man' 'Tobacco Road'
 'Frank Sinatra' 'Frank Sinatra']",[244.7735902  241.9210835  239.88403351 228.46450981 228.46450981],[67.12038708 65.94833161 65.30326833 63.41380338 63.41380338],[0.27421417 0.27260266 0.27222849 0.27756523 0.27756523]
254,alison hendrix,['Tobacco Road' 'Would That I' 'South' 'Fire And The Thud' 'Space Monkey'],[246.84854105 232.36592126 231.88170645 226.93252779 224.49940995],[65.30326833 64.21160215 62.68492909 62.2005895  62.87847435],[0.26454792 0.27633829 0.2703315  0.27409288 0.28008303]
255,mixmag,"['¡Que Vida!' '¡Que Vida!' 'Feels So Good - Single Version'
 'Little Drummer Boy' 'Loneliness Loneliness']",[242.69320366 242.69320366 238.44530335 238.27654958 233.34674986],[66.29735083 66.29735083 68.23497796 68.66490286 65.97869849],[0.2731735  0.2731735  0.28616616 0.28817315 0.28274959]
256,"Oh No - The Music of Grand Theft Auto V, Vol. 1: Original Music","['Greatest-Hits' ""I Think I'm In Love"" 'I Came As a Rat'
 'Version City - Remastered'
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[181.29105675 180.83311657 165.49087203 156.15580242 153.66824095],[67.44306341 67.52902667 61.91049856 58.09231112 56.63124323],[0.37201539 0.37343285 0.3741022  0.37201507 0.36852926]
257,mericana,"['The Fear' 'Tobacco Road' 'So Fine' 'Ends of the Earth'
 ""King's Vengeance""]",[257.64473056 256.71582863 244.7763007  244.50301502 222.99089793],[66.60089775 65.30326833 63.24782302 61.45570745 58.04301074],[0.25849897 0.25437959 0.25839031 0.25134949 0.26029318]
258,More Stuff That David Likes,['Melting' 'Love Is Blue' 'Blue Skies' 'Living on a Thin Line' 'Sunset'],[169.42561679 166.04646317 159.60405282 158.27650731 155.18058161],[69.57074934 66.56758396 65.48603266 64.30184315 61.89425205],[0.4106271  0.40089733 0.41030307 0.40626271 0.39885307]
259,Chet Atkins early years,"['Reflections After Jane' 'Watch What Happens' '8:05' 'God Only Knows'
 ""It's Sand, Man""]",[207.57571423 206.69050325 204.72232753 201.3124604  201.06987998],[69.62653194 70.06659071 69.70162586 68.90995063 66.45795301],[0.33542716 0.33899279 0.3404691  0.34230345 0.33052167]
260,skiing,"['Spirit In The Sky' 'I Love L.A.' 'Old Judge Jones'
 'Version City - Remastered' 'Ride Captain Ride']",[143.06610149 142.89948466 131.09381304 127.00827689 125.73353347],[65.63263754 65.94347545 60.57160586 58.09231112 57.69694201],[0.45875743 0.46146755 0.46204778 0.45738996 0.45888269]
261,Isaac Stern – Humoresque - Favorite Violin Encores [Expanded Edition],"['In the Wee Small Hours of the Morning'
 '""Haydn: String Quartet No. 1 in B-Flat Major, Op. 1 No. 1, Hob. III, 1, """"La chasse"""": III. Adagio""'
 'Messiah, HWV 56, Pt. 2: All we like sheep have gone astray - Chorus'
 'Till the Clouds Roll By - 2015 Remastered Version' 'Beside You']",[211.32028455 206.95536034 204.84607014 203.15121707 193.71031509],[67.19613546 64.87690604 65.54113484 63.69493566 62.26989307],[0.31798242 0.31348261 0.3199531  0.3135346  0.32145884]
262,annex,['Moving Target' 'I Understand' 'Tobacco Road' 'No Time' 'So Fine'],[203.19447021 199.1979394  196.06726746 194.08923725 189.91614327],[65.64885006 65.69055733 65.30326833 64.96908883 63.24782302],[0.32308384 0.32977529 0.33306563 0.33473824 0.33303026]
263,The Indie Jams of 2013,"['Harness Your Hopes - (B-side)' 'Feels So Good - Single Version'
 ""Gideon's Bible"" 'Tobacco Road' 'Train Man']",[144.98550039 144.17933441 142.32822197 141.19749456 139.90535617],[67.12038708 68.23497796 66.89372704 65.30326833 65.94833161],[0.46294551 0.47326462 0.46999623 0.46249594 0.47137818]
264,Chris and Company 16,"['In Thee' ""I Think I'm In Love"" 'Letter from America - Band Version'
 'Mi Enemigo El Amor' 'Drive']",[223.18901891 222.69913032 219.20439312 214.94605102 196.7074424 ],[66.26481464 67.52902667 65.43608245 65.50203167 60.34286411],[0.29689998 0.30322986 0.29851629 0.30473708 0.30676452]
265,XMAS14,"[""Don't Go Near The Water - Remastered 2009"" 'Desperado' 'Only Believe'
 'Love Me Tender' 'Voices In The Sky']",[424.40989156 393.50766599 389.88659586 386.40816835 384.00404397],[71.07428333 68.64068524 65.79729514 68.02742649 68.51968467],[0.16746613 0.1744329  0.16876009 0.17605069 0.1784348 ]
266,Lou Donaldson – Anthology,"[""World's in a Tangle"" 'Evidence - Alternate Version' 'D & E'
 'Ramble on Rose - Live at the Strand Lyceum, London, England, May 26, 1972'
 'No. 1 Green Street - Rudy Van Gelder Edition/24-Bit Mastering/2002 Digital Remaster']",[289.78198969 273.14240337 267.18300011 183.52707987 183.1162724 ],[65.99526538 64.54159349 61.31321055 43.441376   41.59203678],[0.22774109 0.23629284 0.22948021 0.23670281 0.22713458]
267,"en Français, SVP!","['Wuthering Heights' 'Yemayá' 'San Franciscan Nights' ""Miss Judy's Farm""
 'Sunset']",[195.20863742 193.02351148 192.37422076 180.56552092 175.27478833],[66.22048786 69.04504581 67.73726972 64.40495454 61.89425205],[0.33922929 0.35770278 0.35211199 0.35668468 0.35312695]
268,Joe Arroyo - Musa original 1986,"[""Didn't I (Blow Your Mind This Time)"" 'No Trash in My Trailer'
 'The Beat Goes On' ""Daddy's Song"" 'Another Day to Run']",[521.53438506 496.80569727 474.31167288 452.12113939 422.73588167],[67.29174039 67.39900487 67.55963026 66.382189   63.39517731],[0.12902647 0.13566472 0.14243721 0.1468239  0.14996403]
269,"More Techno - scuba, poker flat, trentemoller","['Camo Bikini' 'All I Want' 'Kiss the Dirt (Falling Down the Mountain)'
 'I Came As a Rat' 'Part Time Lover']",[187.83180566 184.92224673 176.42642219 170.46122459 156.53109306],[67.7844493  67.34598387 63.02773014 61.91049856 56.97695347],[0.36087844 0.36418541 0.35724655 0.36319403 0.36399767]
270,D'Angelo,['Train Man' 'Mind' 'Frank Sinatra' 'Frank Sinatra' 'Frank Sinatra'],[161.57687185 157.67245085 156.72038    156.72038    155.88761136],[65.94833161 64.13878925 63.41380338 63.41380338 63.45590865],[0.40815453 0.40678501 0.40463023 0.40463023 0.40706191]
271,Butch Walker,['Tobacco Road' 'Train Man' 'Fire And The Thud' 'So Fine' 'South'],[269.56100613 261.60905789 254.46931679 241.79163656 241.05901464],[65.30326833 65.94833161 62.2005895  63.24782302 62.68492909],[0.24225784 0.25208734 0.24443257 0.26157986 0.26003976]
272,Various Artists – Hot French Chicks in the Garage,"['Feels So Good - Single Version' '1995' 'Soft Drink' '¡Que Vida!'
 '¡Que Vida!']",[173.69887198 173.44621789 169.82984447 169.52775433 169.52775433],[68.23497796 68.65045598 67.24843846 66.29735083 66.29735083],[0.39283489 0.39580255 0.39597539 0.39107078 0.39107078]
273,Buddy Holly – 20th Century Masters: The Millennium Collection: Best Of Buddy Holly,"['Money Honey' 'Save the Last Dance for Me' 'What A Day'
 'Qué Bueno Boogaloo' ""My Baby Loves Lovin'""]",[196.67856051 195.19829808 194.61302256 192.48008396 178.71892644],[68.39726425 68.32042205 68.67142407 67.96586382 63.20010692],[0.34776167 0.35000521 0.3528614  0.35310595 0.35362851]
274,Obscure Soul,"['Feels So Good - Single Version' 'Harness Your Hopes - (B-side)'
 'Wings Of My Love' 'Frank Sinatra' 'Frank Sinatra']",[152.12337332 152.03635578 144.71520581 141.86536211 141.86536211],[68.23497796 67.12038708 64.891883   63.41380338 63.41380338],[0.44855026 0.4414759  0.44841095 0.4469999  0.4469999 ]
275,SEDUCTION (I wanna do bad things with you),"['After The Lights Go Down Low'
 'Just Dropped In (To See What Condition My Condition Was In)'
 'Arrested for Driving While Blind' 'Stingy'
 'Private Dancer - Single Edit']",[141.52087683 138.18526848 132.06943405 131.63912914 128.06277685],[70.23558664 67.60755531 65.98931991 65.00887149 63.37551408],[0.49629135 0.48925299 0.49965626 0.49384155 0.49487849]
276,Owl City/sky sailing,"['Spirit In The Sky' 'Small Town USA'
 'Drivin’ Around Song (feat. Jason Aldean)' 'Circle' 'Stay Beautiful']",[205.797341   187.10930018 183.88802813 175.87722231 175.77633109],[65.63263754 60.7666663  59.74784165 57.01577038 56.91428088],[0.31891878 0.32476561 0.32491425 0.32417939 0.32378808]
277,Danza invisible,"['Plastic Factory' ""I'd Be A Fool Right Now"" 'Wait Until Tomorrow'
 ""Don't Misunderstand Me"" 'Brooklyn Girls - Remastered']",[192.20043395 192.19999031 190.7614782  188.14204855 186.88274585],[67.58965893 67.34549576 68.16266844 67.40901778 66.40253283],[0.35166236 0.35039282 0.35731883 0.35828789 0.35531655]
278,Walk Off the Earth – R.E.V.O.,"['Harness Your Hopes - (B-side)' ""Gideon's Bible""
 'Fly Me To The Moon (In Other Words)' 'Tobacco Road' 'Train Man']",[248.96439987 238.04487927 237.90335356 233.98025471 232.41047471],[67.12038708 66.89372704 66.92931734 65.30326833 65.94833161],[0.26959833 0.28101309 0.28132986 0.27909735 0.283758  ]
279,"Boyce Avenue – Cover Sessions, Vol. 1 2","['Pacer' 'Loneliness Loneliness' 'Harness Your Hopes - (B-side)'
 ""Miss Judy's Farm"" 'All of Me']",[207.3573426  204.0811098  199.96470945 196.32972223 191.48366893],[69.78183245 65.97869849 67.12038708 64.40495454 64.50847413],[0.33652935 0.32329645 0.33566116 0.32804485 0.3368876 ]
280,Bob Marley & The Wailers — Bob Marley - The Greatest Hits,"['The Motivator - Remastered' 'Samson and Delilah - 2014 Remaster'
 'Wavy (feat. Joe Moses)' 'Northeast Texas Women' ""Wake Up (It's 1984)""]",[540.82050569 534.77197774 439.08219085 418.74335067 381.45875281],[59.31897173 67.48663034 67.69860508 59.22841629 61.27393299],[0.10968329 0.12619702 0.15418208 0.14144324 0.16063056]
281,A Sunny Day In Glasgow — Sea When Absent,"['Double Dutch' 'Orange Blossom Special' ""I'm Awesome"" 'Queen Bee'
 'Send Me On My Way - Live']",[         inf 300.58172456 241.10867081 223.83008127 209.44577828],[50.66110385 57.55467688 61.56795281 54.10111259 51.35945444],[0.         0.19147763 0.25535354 0.24170617 0.24521599]
282,While she sleeps,"['He Is The Same' 'What If (I Told You I Like You)' 'Remind Me to Forget'
 'Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)' 'Jazz']",[196.75047189 195.42807647 191.91323536 189.74856491 185.22112426],[69.09320334 69.15376951 68.34924405 68.12060977 67.34286553],[0.35117173 0.3538579  0.35614659 0.35900461 0.36358091]
283,Ghostface Killah – SOUR SOUL,"['It Takes A Lot To Laugh, It Takes A Train To Cry'
 'Country John - Remastered Version' 'Smoothie Song' 'Echoes' 'Spell']",[326.69680652 323.60251863 322.52707316 312.5327792  299.18708491],[64.85797324 65.46947156 66.99340326 67.61539611 65.81392638],[0.1985265  0.20231447 0.20771405 0.21634657 0.21997583]
284,"Emma, any 2023","[""Now I'm Here - Remastered 2011"" ""Now I'm Here - Remastered 2011""
 'This Is Your Life' 'I Could Have Been a Dreamer' 'Sixteen Blue']",[295.80350807 295.80350807 295.54371739 292.46897126 268.67952804],[61.0731207  61.0731207  59.37060724 60.16121545 55.77686215],[0.20646517 0.20646517 0.20088604 0.20570119 0.20759625]
285,Guru – Jazzmatazz Volume 1,"['Off the Grid (feat. Khalid)' 'Who Do You Love' ""Time's Up""
 'Hell Is Round The Corner' 'Train Man']",[174.60722842 173.69934683 172.62524373 169.69623992 167.26794986],[68.64775713 68.51005115 67.32190205 63.94540824 65.94833161],[0.3931553  0.39441744 0.38998874 0.37682278 0.39426759]
286,Quiksilver Pro NY 2011,"['Wildest Dreams' 'I Came As a Rat' 'Can I Sit Next to You Girl'
 'Shooting Stars' 'Party']",[195.35631376 191.22587984 188.47633439 188.03779679 181.34830806],[62.80371402 61.91049856 61.24483122 61.91637525 59.50165363],[0.3214829  0.32375586 0.32494706 0.32927622 0.32810702]
287,It's Only A Game,"[""Aerith's Theme (Final Fantasy VII)"" 'Wild Mountain Thyme'
 'A Day Together - Somewhere In Time/Soundtrack Version'
 'I Will Not Be Sad In This World'
 'Clarinet Concerto in A Major, K. 622: II. Adagio']",[         inf 433.82565022 310.09735426 248.38138615 200.73213595],[44.39066263 54.80034971 32.94       29.08       24.16      ],[0.         0.12631883 0.10622471 0.11707802 0.1203594 ]
288,Com Truise – Wave 1,"['In My Feelings' 'Tukani (Monday Is Grey)'
 'Surrounded (Fight My Battles)' 'Stay on These Roads' 'Defender']",[299.59381725 284.3371914  276.16916027 260.40559158 197.14643806],[64.76198561 53.21377624 57.78486214 55.60584774 38.94079801],[0.21616596 0.18715025 0.2092372  0.21353554 0.1975222 ]
289,HIPPY SUMMER BEBE,"['The Dog' ""Don't Misunderstand Me"" 'Harness Your Hopes - (B-side)'
 ""I'll Be Creeping"" 'Might As Well Get Stoned']",[198.13723794 197.91258867 195.21583626 176.74595646 175.29172745],[69.08590106 67.40901778 67.12038708 61.35309178 59.86511263],[0.34867702 0.34059995 0.34382655 0.34712586 0.34151704]
290,GirlydanceParTy,"[""I Think I'm In Love"" 'Spirit In The Sky' '園遊會' 'Refugee - Alt. Take'
 'Version City - Remastered']",[168.21130382 162.1507662  150.89188364 149.03083162 148.8302912 ],[67.52902667 65.63263754 60.12952828 59.50598716 58.09231112],[0.40145356 0.40476304 0.39849412 0.39928642 0.39032586]
291,Elvis Presley - Live In Las Vegas,"['Whiskey Sunrise' ""Can't Take My Eyes Off You"" ""Fakin' It"" 'SUGAR'
 'The New Soft Shoe - Remastered Version']",[276.15973821 269.45125576 268.3800521  264.51378275 263.48742744],[67.52135824 65.97451727 67.11407078 66.36257822 66.18114855],[0.24450109 0.24484769 0.25007101 0.25088514 0.25117384]
292,BIGGER THAN LIFE,"['Tobacco Road' 'Moving Target' 'Fire And The Thud' 'Ends of the Earth'
 'So Fine']",[189.71704363 186.72305722 183.38755392 181.07008745 180.19638973],[65.30326833 65.64885006 62.2005895  61.45570745 63.24782302],[0.34421403 0.35158406 0.33917563 0.33940287 0.35099384]
293,lazy,"['Train Man' 'Tobacco Road' 'Harness Your Hopes - (B-side)'
 'Fire And The Thud' 'Ends of the Earth']",[187.5947811  187.35334806 187.11664934 171.96652247 169.63787364],[65.94833161 65.30326833 67.12038708 62.2005895  61.45570745],[0.35154673 0.34855672 0.35870879 0.36170173 0.36227587]
294,screamy,"['Greatest-Hits' 'Honey I Sure Miss You'
 'Blue Pepper (Far East of the Blues)' 'Fire And The Thud'
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[190.3239637  185.16224599 179.84404351 170.13286469 153.8169376 ],[67.44306341 67.33001998 63.59892153 62.2005895  56.63124323],[0.35435928 0.36362715 0.35363374 0.36560008 0.368173  ]
295,RISE AGAINST 2011,"['(One of Those) Crazy Girls' 'Castle on the Hill' 'Elastic Heart'
 'Looking Around'
 '""Elastic Heart - From """"The Hunger Games: Catching Fire"""" Soundtrack""']",[166.37238265 144.12873857 143.16784315 140.90493589 134.83463833],[68.6458242  60.02803576 59.81782054 58.61289927 54.86062482],[0.41260348 0.41648901 0.41781603 0.41597478 0.40687338]
296,Bursdagsfest,"['Harness Your Hopes - (B-side)' 'Feels So Good - Single Version'
 'Loneliness Loneliness' '¡Que Vida!' 'Wings Of My Love']",[179.37087397 176.14232914 169.85695285 169.58508883 166.88166942],[67.12038708 68.23497796 65.97869849 66.29735083 64.891883  ],[0.37419892 0.38738546 0.38843684 0.39093856 0.38884968]
297,Cannibal Corpse - Evisceration Plague,"['Evisceration Plague' 'Spill The Blood' 'From the Past Comes the Storms'
 'Extreme Aggression' 'Without Judgement']",[         inf 317.92973989 298.86215114 232.26022183 222.32962966],[52.01562391 52.38971482 50.03140313 40.78607143 43.93959957],[0.         0.16478394 0.16740629 0.17560507 0.19763268]
298,Mishmashofchangingmoods.,"['Tobacco Road' 'Train Man' 'So Fine' 'Ends of the Earth'
 'Fire And The Thud']",[180.84819499 176.46002639 170.94182416 170.86748464 167.43448961],[65.30326833 65.94833161 63.24782302 61.45570745 62.2005895 ],[0.36109439 0.37372958 0.36999619 0.35966883 0.3714921 ]
